sa2_code,National Parks (%) 2014
603011065,0.8
603011066,20.2
603011068,1.4
603021069,11.2
603021070,0.5
603021071,2.3
603021072,0.1
603031073,18.6
603031074,7.6
604011076,0.3
604021089,8.4
604021091,..
604031093,7.1
604031094,2.3
604031096,1
604031097,0.6
604031098,1.4
701011009,..
701021015,..
702011048,..
702011050,0.8
702011052,..
702011053,..
702021055,..
702031057,47.4
702031058,5.1
702031061,6.1
702051065,5.6
702051066,0.1
702051068,..
801021027,4.8
801021029,65.2
901011001,62.6
901021002,8.5
901031003,81.2
